column,missing_rows,missing_share,feature_group,is_categorical_feature
pct_change_1w,326646,0.24091603053435115,temporal_demand,False
ratio_to_8w_mean,181295,0.13371316886086218,temporal_demand,False
ratio_to_12w_mean,166347,0.12268835048124793,temporal_demand,False
lag_52w_count,122616,0.09043478260869565,temporal_demand,False
lag_12w_count,28296,0.020869565217391306,temporal_demand,False
rolling_12w_mean,28296,0.020869565217391306,temporal_demand,False
rolling_12w_std,28296,0.020869565217391306,temporal_demand,False
rolling_12w_sum,28296,0.020869565217391306,temporal_demand,False
lag_8w_count,18864,0.01391304347826087,temporal_demand,False
rolling_8w_mean,18864,0.01391304347826087,temporal_demand,False
rolling_8w_std,18864,0.01391304347826087,temporal_demand,False
rolling_8w_sum,18864,0.01391304347826087,temporal_demand,False
diff_4w_count,9432,0.006956521739130435,temporal_demand,False
lag_4w_count,9432,0.006956521739130435,temporal_demand,False
rolling_4w_mean,9432,0.006956521739130435,temporal_demand,False
rolling_4w_std,9432,0.006956521739130435,temporal_demand,False
rolling_4w_sum,9432,0.006956521739130435,temporal_demand,False
lag_2w_count,4716,0.0034782608695652175,temporal_demand,False
diff_1w_count,2358,0.0017391304347826088,temporal_demand,False
lag_1w_count,2358,0.0017391304347826088,temporal_demand,False
boroname,0,0.0,categorical_context,True
cold_day_0c_count,0,0.0,weather,False
complaint_category,0,0.0,categorical_context,True
complaint_count,0,0.0,current_demand,False
heavy_rain_day_25mm_count,0,0.0,weather,False
heavy_snow_day_25mm_count,0,0.0,weather,False
history_weeks_available,0,0.0,temporal_demand,False
hot_day_30c_count,0,0.0,weather,False
hot_day_35c_count,0,0.0,weather,False
ice_day_tmax_0c_count,0,0.0,weather,False
is_covid_period,0,0.0,calendar_period,False
is_year_end,0,0.0,calendar_period,False
is_year_start,0,0.0,calendar_period,False
iso_year,0,0.0,calendar_period,False
moderate_rain_day_10mm_count,0,0.0,weather,False
month,0,0.0,calendar_period,False
osm_zero_poi_flag,0,0.0,quality_flag,False
period_type,0,0.0,calendar_period,True
pluto_avg_num_floors,0,0.0,pluto_landuse_built_environment,False
pluto_building_area_to_lot_area_ratio,0,0.0,pluto_landuse_built_environment,False
pluto_commercial_area_ratio,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_commercial,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_industrial,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_mixed_use,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_open_space,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_parking,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_public_facility,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_ratio_commercial,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_ratio_industrial,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_ratio_mixed_use,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_ratio_open_space,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_ratio_parking,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_ratio_public_facility,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_ratio_residential,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_ratio_transportation_utility,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_ratio_unknown,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_ratio_vacant,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_residential,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_transportation_utility,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_unknown,0,0.0,pluto_landuse_built_environment,False
pluto_lot_area_vacant,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count_commercial,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count_industrial,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count_mixed_use,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count_open_space,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count_parking,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count_public_facility,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count_residential,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count_transportation_utility,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count_unknown,0,0.0,pluto_landuse_built_environment,False
pluto_lot_count_vacant,0,0.0,pluto_landuse_built_environment,False
pluto_office_area_ratio,0,0.0,pluto_landuse_built_environment,False
pluto_parcel_count,0,0.0,pluto_landuse_built_environment,False
pluto_parcel_density_per_km2,0,0.0,pluto_landuse_built_environment,False
pluto_residential_area_ratio,0,0.0,pluto_landuse_built_environment,False
pluto_retail_area_ratio,0,0.0,pluto_landuse_built_environment,False
pluto_source_missing_flag,0,0.0,pluto_landuse_built_environment,False
pluto_total_building_area,0,0.0,pluto_landuse_built_environment,False
pluto_total_buildings,0,0.0,pluto_landuse_built_environment,False
pluto_total_commercial_area,0,0.0,pluto_landuse_built_environment,False
pluto_total_factory_area,0,0.0,pluto_landuse_built_environment,False
pluto_total_garage_area,0,0.0,pluto_landuse_built_environment,False
pluto_total_lot_area,0,0.0,pluto_landuse_built_environment,False
pluto_total_office_area,0,0.0,pluto_landuse_built_environment,False
pluto_total_other_area,0,0.0,pluto_landuse_built_environment,False
pluto_total_residential_area,0,0.0,pluto_landuse_built_environment,False
pluto_total_residential_units,0,0.0,pluto_landuse_built_environment,False
pluto_total_retail_area,0,0.0,pluto_landuse_built_environment,False
pluto_total_storage_area,0,0.0,pluto_landuse_built_environment,False
pluto_total_units,0,0.0,pluto_landuse_built_environment,False
poi_accommodation_count,0,0.0,osm_poi,False
poi_accommodation_density_per_km2,0,0.0,osm_poi,False
poi_accommodation_share,0,0.0,osm_poi,False
poi_commercial_activity_count,0,0.0,osm_poi,False
poi_commercial_activity_density_per_km2,0,0.0,osm_poi,False
poi_commercial_activity_share,0,0.0,osm_poi,False
poi_culture_tourism_count,0,0.0,osm_poi,False
poi_culture_tourism_density_per_km2,0,0.0,osm_poi,False
poi_culture_tourism_share,0,0.0,osm_poi,False
poi_daily_activity_count,0,0.0,osm_poi,False
poi_daily_activity_density_per_km2,0,0.0,osm_poi,False
poi_daily_activity_share,0,0.0,osm_poi,False
poi_density_per_km2,0,0.0,osm_poi,False
poi_dominant_semantic_category,0,0.0,osm_poi,True
poi_dominant_semantic_category_share,0,0.0,osm_poi,False
poi_education_count,0,0.0,osm_poi,False
poi_education_density_per_km2,0,0.0,osm_poi,False
poi_education_share,0,0.0,osm_poi,False
poi_emergency_safety_count,0,0.0,osm_poi,False
poi_emergency_safety_density_per_km2,0,0.0,osm_poi,False
poi_emergency_safety_share,0,0.0,osm_poi,False
poi_employment_industrial_count,0,0.0,osm_poi,False
poi_employment_industrial_density_per_km2,0,0.0,osm_poi,False
poi_employment_industrial_share,0,0.0,osm_poi,False
poi_finance_count,0,0.0,osm_poi,False
poi_finance_density_per_km2,0,0.0,osm_poi,False
poi_finance_share,0,0.0,osm_poi,False
poi_food_drink_count,0,0.0,osm_poi,False
poi_food_drink_density_per_km2,0,0.0,osm_poi,False
poi_food_drink_share,0,0.0,osm_poi,False
poi_healthcare_count,0,0.0,osm_poi,False
poi_healthcare_density_per_km2,0,0.0,osm_poi,False
poi_healthcare_share,0,0.0,osm_poi,False
poi_industrial_logistics_count,0,0.0,osm_poi,False
poi_industrial_logistics_density_per_km2,0,0.0,osm_poi,False
poi_industrial_logistics_share,0,0.0,osm_poi,False
poi_log1p_density_per_km2,0,0.0,osm_poi,False
poi_log1p_total_count,0,0.0,osm_poi,False
poi_mixed_use_index,0,0.0,osm_poi,False
poi_mobility_access_count,0,0.0,osm_poi,False
poi_mobility_access_density_per_km2,0,0.0,osm_poi,False
poi_mobility_access_share,0,0.0,osm_poi,False
poi_named_count,0,0.0,osm_poi,False
poi_named_share,0,0.0,osm_poi,False
poi_office_work_count,0,0.0,osm_poi,False
poi_office_work_density_per_km2,0,0.0,osm_poi,False
poi_office_work_share,0,0.0,osm_poi,False
poi_osm_tag_amenity_count,0,0.0,osm_poi,False
poi_osm_tag_amenity_share,0,0.0,osm_poi,False
poi_osm_tag_highway_count,0,0.0,osm_poi,False
poi_osm_tag_highway_share,0,0.0,osm_poi,False
poi_osm_tag_leisure_count,0,0.0,osm_poi,False
poi_osm_tag_leisure_share,0,0.0,osm_poi,False
poi_osm_tag_public_transport_count,0,0.0,osm_poi,False
poi_osm_tag_public_transport_share,0,0.0,osm_poi,False
poi_osm_tag_railway_count,0,0.0,osm_poi,False
poi_osm_tag_railway_share,0,0.0,osm_poi,False
poi_osm_tag_shop_count,0,0.0,osm_poi,False
poi_osm_tag_shop_share,0,0.0,osm_poi,False
poi_osm_tag_tourism_count,0,0.0,osm_poi,False
poi_osm_tag_tourism_share,0,0.0,osm_poi,False
poi_other_count,0,0.0,osm_poi,False
poi_other_density_per_km2,0,0.0,osm_poi,False
poi_other_share,0,0.0,osm_poi,False
poi_public_service_count,0,0.0,osm_poi,False
poi_public_service_density_per_km2,0,0.0,osm_poi,False
poi_public_service_share,0,0.0,osm_poi,False
poi_recreation_environment_count,0,0.0,osm_poi,False
poi_recreation_environment_density_per_km2,0,0.0,osm_poi,False
poi_recreation_environment_share,0,0.0,osm_poi,False
poi_recreation_green_count,0,0.0,osm_poi,False
poi_recreation_green_density_per_km2,0,0.0,osm_poi,False
poi_recreation_green_share,0,0.0,osm_poi,False
poi_religion_count,0,0.0,osm_poi,False
poi_religion_density_per_km2,0,0.0,osm_poi,False
poi_religion_share,0,0.0,osm_poi,False
poi_retail_count,0,0.0,osm_poi,False
poi_retail_density_per_km2,0,0.0,osm_poi,False
poi_retail_share,0,0.0,osm_poi,False
poi_safety_public_service_count,0,0.0,osm_poi,False
poi_safety_public_service_density_per_km2,0,0.0,osm_poi,False
poi_safety_public_service_share,0,0.0,osm_poi,False
poi_semantic_entropy,0,0.0,osm_poi,False
poi_semantic_entropy_norm,0,0.0,osm_poi,False
poi_semantic_hhi,0,0.0,osm_poi,False
poi_social_infrastructure_count,0,0.0,osm_poi,False
poi_social_infrastructure_density_per_km2,0,0.0,osm_poi,False
poi_social_infrastructure_share,0,0.0,osm_poi,False
poi_total_count,0,0.0,osm_poi,False
poi_transport_count,0,0.0,osm_poi,False
poi_transport_density_per_km2,0,0.0,osm_poi,False
poi_transport_share,0,0.0,osm_poi,False
poi_unique_raw_type_count,0,0.0,osm_poi,False
poi_unique_semantic_category_count,0,0.0,osm_poi,False
poi_with_any_detected_tag_count,0,0.0,osm_poi,False
poi_with_any_detected_tag_share,0,0.0,osm_poi,False
poi_with_valid_coordinate_count,0,0.0,osm_poi,False
poi_with_valid_coordinate_share,0,0.0,osm_poi,False
quarter,0,0.0,calendar_period,False
rain_day_count,0,0.0,weather,False
snow_day_count,0,0.0,weather,False
very_cold_day_minus5c_count,0,0.0,weather,False
very_heavy_rain_day_50mm_count,0,0.0,weather,False
weather_awnd_max,0,0.0,weather,False
weather_awnd_mean,0,0.0,weather,False
weather_prcp_max,0,0.0,weather,False
weather_prcp_mean,0,0.0,weather,False
weather_prcp_station_max,0,0.0,weather,False
weather_prcp_sum,0,0.0,weather,False
weather_snow_max,0,0.0,weather,False
weather_snow_mean,0,0.0,weather,False
weather_snow_sum,0,0.0,weather,False
weather_snwd_max,0,0.0,weather,False
weather_snwd_mean,0,0.0,weather,False
weather_tavg_mean,0,0.0,weather,False
weather_tmax_max,0,0.0,weather,False
weather_tmax_mean,0,0.0,weather,False
weather_tmax_min,0,0.0,weather,False
weather_tmax_station_max,0,0.0,weather,False
weather_tmin_max,0,0.0,weather,False
weather_tmin_mean,0,0.0,weather,False
weather_tmin_min,0,0.0,weather,False
week_of_year,0,0.0,calendar_period,False
year,0,0.0,calendar_period,False
