candidate_id,experiment_id,param_id,pos_weight_mode,feature,importance,importance_rank,model_name
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,complaint_category,2305.0,1,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,rolling_8w_std,2073.0,2,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,history_weeks_available,1302.0,3,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,week_of_year,1189.0,4,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,lag_52w_count,798.0,5,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,ratio_to_8w_mean,797.0,6,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_awnd_mean,652.0,7,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,ratio_to_12w_mean,607.0,8,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_awnd_max,581.0,9,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_tmax_mean,524.0,10,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_tmin_mean,496.0,11,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,pct_change_1w,466.0,12,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_tavg_mean,461.0,13,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,lag_12w_count,459.0,14,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,rolling_12w_std,456.0,15,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,lag_1w_count,447.0,16,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_tmin_min,443.0,17,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_tmax_min,425.0,18,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,diff_4w_count,418.0,19,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_prcp_max,416.0,20,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_tmin_max,406.0,21,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,rolling_4w_std,403.0,22,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,complaint_count,403.0,23,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,lag_8w_count,381.0,24,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_prcp_mean,379.0,25,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_prcp_station_max,357.0,26,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_tmax_max,356.0,27,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_prcp_sum,350.0,28,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_tmax_station_max,344.0,29,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,diff_1w_count,339.0,30,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,rolling_12w_sum,318.0,31,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,rolling_12w_mean,311.0,32,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,lag_2w_count,304.0,33,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,rolling_4w_mean,275.0,34,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,month,246.0,35,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,rolling_8w_sum,229.0,36,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,rolling_4w_sum,228.0,37,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,rain_day_count,213.0,38,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,rolling_8w_mean,207.0,39,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,lag_4w_count,197.0,40,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,pluto_total_buildings,174.0,41,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,weather_snow_max,169.0,42,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,poi_named_share,158.0,43,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,pluto_avg_num_floors,145.0,44,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,pluto_building_area_to_lot_area_ratio,145.0,45,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,pluto_parcel_density_per_km2,145.0,46,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,poi_osm_tag_amenity_share,142.0,47,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,pluto_lot_area_ratio_public_facility,138.0,48,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,pluto_lot_area_open_space,132.0,49,lightgbm
001_E1_main_2015_2025_lightgbm_lgbm_current_depth8_leaf63_lr005_pw_none,E1_main_2015_2025,lgbm_current_depth8_leaf63_lr005,none,pluto_total_lot_area,129.0,50,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,complaint_category,2510.0,1,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,rolling_8w_std,2391.0,2,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,week_of_year,1166.0,3,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,history_weeks_available,1160.0,4,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,lag_52w_count,747.0,5,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,ratio_to_8w_mean,743.0,6,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_awnd_mean,533.0,7,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,ratio_to_12w_mean,509.0,8,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,lag_1w_count,431.0,9,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_awnd_max,423.0,10,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_tmin_mean,409.0,11,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_tmax_mean,386.0,12,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_tmin_min,345.0,13,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,diff_4w_count,323.0,14,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_tavg_mean,322.0,15,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_tmin_max,322.0,16,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,complaint_count,321.0,17,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_tmax_min,316.0,18,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,lag_12w_count,315.0,19,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,rolling_12w_sum,294.0,20,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_tmax_max,291.0,21,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,rolling_12w_std,291.0,22,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_tmax_station_max,288.0,23,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_prcp_max,287.0,24,lightgbm
002_E1_main_2015_2025_lightgbm_lgbm_regularized_depth6_leaf31_lr003_pw_none,E1_main_2015_2025,lgbm_regularized_depth6_leaf31_lr003,none,weather_prcp_station_max,274.0,25,lightgbm
