target_definition,challenger,baseline,fold_id,cluster_unit,clusters,n_bootstrap,metric,observed_difference,boot_mean_difference,ci_lower,ci_upper,favorable_direction,win_proportion,ci_includes_zero
T0_current_reference,platt,uncalibrated,final_style_2025,nta_category,2358,1000,pr_auc,0.0,0.0,0.0,0.0,positive,0.0,True
T0_current_reference,platt,uncalibrated,final_style_2025,nta_category,2358,1000,f1,0.0,0.0,0.0,0.0,positive,0.0,True
T0_current_reference,platt,uncalibrated,final_style_2025,nta_category,2358,1000,precision,0.0,0.0,0.0,0.0,positive,0.0,True
T0_current_reference,platt,uncalibrated,final_style_2025,nta_category,2358,1000,recall,0.0,0.0,0.0,0.0,positive,0.0,True
T0_current_reference,platt,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_1pct,0.0,0.0,0.0,0.0,positive,0.0,True
T0_current_reference,platt,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.0,0.0,0.0,0.0,positive,0.0,True
T0_current_reference,platt,uncalibrated,final_style_2025,nta_category,2358,1000,lift_at_1pct,0.0,0.0,0.0,0.0,positive,0.0,True
T0_current_reference,platt,uncalibrated,final_style_2025,nta_category,2358,1000,brier,-0.073119220886376,-0.0731333309190273,-0.07473913554966058,-0.07146419619055998,negative,1.0,False
T0_current_reference,platt,uncalibrated,final_style_2025,nta_category,2358,1000,log_loss,-0.18240045049490056,-0.182430884290245,-0.1859662759365134,-0.1785333074674789,negative,1.0,False
T0_current_reference,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,pr_auc,-0.00828598081064641,-0.008269492424448206,-0.009034454691666608,-0.0075960719853409965,positive,0.0,False
T0_current_reference,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,f1,-5.023461393099948e-05,-4.7463817175180275e-05,-0.00021454203846076324,0.00013687804804429763,positive,0.292,True
T0_current_reference,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,precision,-0.00013168155069825938,-0.0001295549798547664,-0.0002607474822746529,2.912383479671914e-07,positive,0.026,True
T0_current_reference,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,recall,0.0003818737270876449,0.0003856626155890266,0.00012556051633643705,0.0007119624652528873,positive,0.997,False
T0_current_reference,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_1pct,-0.007334963325183463,-0.002246128769356152,-0.013854930725346382,0.00896495517522411,positive,0.323,True
T0_current_reference,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.0,-0.0005751100962322621,-0.00309900505627142,0.0013048442342195599,positive,0.279,True
T0_current_reference,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,lift_at_1pct,-0.057241844646174656,-0.017566609765794845,-0.1088170967526348,0.06973204004103656,positive,0.323,True
T0_current_reference,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,brier,-0.0731674564373903,-0.07315924439716989,-0.07476575845011584,-0.07163319440775257,negative,1.0,False
T0_current_reference,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,log_loss,-0.1830528253646465,-0.1830415287217908,-0.1866216913010194,-0.17974387229401653,negative,1.0,False
T2_min_count_3,platt,uncalibrated,final_style_2025,nta_category,2358,1000,pr_auc,0.0,0.0,0.0,0.0,positive,0.0,True
T2_min_count_3,platt,uncalibrated,final_style_2025,nta_category,2358,1000,f1,0.0,0.0,0.0,0.0,positive,0.0,True
T2_min_count_3,platt,uncalibrated,final_style_2025,nta_category,2358,1000,precision,0.0,0.0,0.0,0.0,positive,0.0,True
T2_min_count_3,platt,uncalibrated,final_style_2025,nta_category,2358,1000,recall,0.0,0.0,0.0,0.0,positive,0.0,True
T2_min_count_3,platt,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_1pct,0.0,0.0,0.0,0.0,positive,0.0,True
T2_min_count_3,platt,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.0,0.0,0.0,0.0,positive,0.0,True
T2_min_count_3,platt,uncalibrated,final_style_2025,nta_category,2358,1000,lift_at_1pct,0.0,0.0,0.0,0.0,positive,0.0,True
T2_min_count_3,platt,uncalibrated,final_style_2025,nta_category,2358,1000,brier,-0.08068193588548454,-0.08069045912728902,-0.08265593000244258,-0.07853415609740799,negative,1.0,False
T2_min_count_3,platt,uncalibrated,final_style_2025,nta_category,2358,1000,log_loss,-0.19953277959160143,-0.1995670510431555,-0.20419354155839306,-0.19482507565696208,negative,1.0,False
T2_min_count_3,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,pr_auc,-0.009227996598964117,-0.009226024825713323,-0.010196601655970805,-0.008259343650341259,positive,0.0,False
T2_min_count_3,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,f1,-0.00022595823791699,-0.00020557461264107758,-0.0008181493450477972,0.00047616241625739463,positive,0.262,True
T2_min_count_3,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,precision,-0.0012045904817319375,-0.0011894645720547331,-0.0016674385715229126,-0.0006931185700168403,positive,0.0,False
T2_min_count_3,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,recall,0.004645332546821979,0.004672407914237068,0.003551097638317904,0.005943405824421782,positive,1.0,False
T2_min_count_3,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_1pct,0.007334963325183352,-0.001499592502037491,-0.014690301548492322,0.012224938875305624,positive,0.395,True
T2_min_count_3,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,precision_at_5pct,0.0017941608220518601,-0.00034578372206817886,-0.004081715870168011,0.0032621105855488164,positive,0.417,True
T2_min_count_3,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,lift_at_1pct,0.0663164624008763,-0.01356626244369946,-0.13492458644205133,0.1112756374280724,positive,0.395,True
T2_min_count_3,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,brier,-0.08075751459025383,-0.08076238609707169,-0.08272571800865519,-0.07875478464833033,negative,1.0,False
T2_min_count_3,isotonic,uncalibrated,final_style_2025,nta_category,2358,1000,log_loss,-0.2005610635233933,-0.20055215567946533,-0.20501767587240716,-0.19599598538461843,negative,1.0,False
