complaint_type,2015-2019,2020-2025,presence
Derelict Vehicle,141360.0,0.0,2015-2019_only
Broken Muni Meter,55564.0,0.0,2015-2019_only
Animal Abuse,42063.0,0.0,2015-2019_only
DOF Property - Payment Issue,11414.0,0.0,2015-2019_only
Dead Tree,10654.0,0.0,2015-2019_only
Construction,7009.0,0.0,2015-2019_only
DRIE,4023.0,0.0,2015-2019_only
DPR Internal,2523.0,0.0,2015-2019_only
Senior Center Complaint,1289.0,0.0,2015-2019_only
Request Xmas Tree Collection,1265.0,0.0,2015-2019_only
City Vehicle Placard Complaint,741.0,0.0,2015-2019_only
FATF,435.0,0.0,2015-2019_only
FCST,180.0,0.0,2015-2019_only
Literature Request,161.0,0.0,2015-2019_only
ATF,73.0,0.0,2015-2019_only
Transportation Provider Complaint,58.0,0.0,2015-2019_only
OEM Disabled Vehicle,43.0,0.0,2015-2019_only
Legal Services Provider Complaint,42.0,0.0,2015-2019_only
Single Occupancy Bathroom,39.0,0.0,2015-2019_only
DOF Property - Reduction Issue,28.0,0.0,2015-2019_only
Taxpayer Advocate Inquiry,23.0,0.0,2015-2019_only
Interior Demo,20.0,0.0,2015-2019_only
Special Enforcement,17.0,0.0,2015-2019_only
Fire Alarm - Reinspection,16.0,0.0,2015-2019_only
Advocate - Lien,13.0,0.0,2015-2019_only
Advocate-Commercial Exemptions,13.0,0.0,2015-2019_only
Public Assembly,11.0,0.0,2015-2019_only
Fire Alarm - New System,9.0,0.0,2015-2019_only
Rangehood,9.0,0.0,2015-2019_only
Advocate-Business Tax,8.0,0.0,2015-2019_only
AGENCY,6.0,0.0,2015-2019_only
VACANT APARTMENT,6.0,0.0,2015-2019_only
Fire Alarm - Modification,4.0,0.0,2015-2019_only
Highway Sign - Missing,4.0,0.0,2015-2019_only
Sprinkler - Mechanical,3.0,0.0,2015-2019_only
Advocate - Levy,2.0,0.0,2015-2019_only
Gas Station Discharge Lines,2.0,0.0,2015-2019_only
Hazmat Storage/Use,2.0,0.0,2015-2019_only
Homebound Evacuation 4,2.0,0.0,2015-2019_only
ZSYSTEST,2.0,0.0,2015-2019_only
Advocate - Other,1.0,0.0,2015-2019_only
Advocate-Foreclosure,1.0,0.0,2015-2019_only
Advocate-Personal Exemptions,1.0,0.0,2015-2019_only
Advocate-UBT,1.0,0.0,2015-2019_only
Asbestos/Garbage Nuisance,1.0,0.0,2015-2019_only
Ferry Permit,1.0,0.0,2015-2019_only
Fire Alarm - Replacement,1.0,0.0,2015-2019_only
Illegal Animal - Sold/Kept,1.0,0.0,2015-2019_only
Injured Wildlife,1.0,0.0,2015-2019_only
LEAD,1.0,0.0,2015-2019_only
MSOTHER,1.0,0.0,2015-2019_only
Open Flame Permit,1.0,0.0,2015-2019_only
Public Assembly - Temporary,1.0,0.0,2015-2019_only
Request Changes - A.S.P.,1.0,0.0,2015-2019_only
Trapping Pigeon,1.0,0.0,2015-2019_only
Encampment,0.0,191488.0,2020-2025_only
Illegal Dumping,0.0,146291.0,2020-2025_only
Obstruction,0.0,69877.0,2020-2025_only
Vendor Enforcement,0.0,68689.0,2020-2025_only
NonCompliance with Phased Reopening,0.0,66296.0,2020-2025_only
Residential Disposal Complaint,0.0,51551.0,2020-2025_only
Dead Animal,0.0,41937.0,2020-2025_only
Street Sweeping Complaint,0.0,31817.0,2020-2025_only
Outdoor Dining,0.0,30053.0,2020-2025_only
Real Time Enforcement,0.0,28481.0,2020-2025_only
Snow or Ice,0.0,27461.0,2020-2025_only
Illegal Posting,0.0,16929.0,2020-2025_only
Homeless Street Condition,0.0,15449.0,2020-2025_only
Litter Basket Request,0.0,15238.0,2020-2025_only
Sanitation Worker or Vehicle Complaint,0.0,12555.0,2020-2025_only
Commercial Disposal Complaint,0.0,10683.0,2020-2025_only
Smoking or Vaping,0.0,10030.0,2020-2025_only
Abandoned Bike,0.0,8791.0,2020-2025_only
Dumpster Complaint,0.0,7714.0,2020-2025_only
Lot Condition,0.0,7697.0,2020-2025_only
Vaccine Mandate Non-Compliance,0.0,7399.0,2020-2025_only
COVID-19 Non-essential Construction,0.0,7314.0,2020-2025_only
Litter Basket Complaint,0.0,6158.0,2020-2025_only
Mass Gathering Complaint,0.0,3647.0,2020-2025_only
Wood Pile Remaining,0.0,3433.0,2020-2025_only
Storm,0.0,3003.0,2020-2025_only
Sewer Maintenance,0.0,2777.0,2020-2025_only
Uprooted Stump,0.0,2343.0,2020-2025_only
Paint/Plaster,0.0,2187.0,2020-2025_only
Private or Charter School Reopening,0.0,2100.0,2020-2025_only
E-Scooter,0.0,1866.0,2020-2025_only
Heat/Hot Water,0.0,1814.0,2020-2025_only
Face Covering Violation,0.0,1798.0,2020-2025_only
Door/Window,0.0,1258.0,2020-2025_only
Cannabis Retailer,0.0,1111.0,2020-2025_only
Seasonal Collection,0.0,789.0,2020-2025_only
Bike Rack,0.0,754.0,2020-2025_only
AHV Inspection Unit,0.0,749.0,2020-2025_only
Flooring/Stairs,0.0,695.0,2020-2025_only
Water Maintenance,0.0,382.0,2020-2025_only
Recycling Basket Complaint,0.0,372.0,2020-2025_only
Incorrect Data,0.0,356.0,2020-2025_only
Institution Disposal Complaint,0.0,241.0,2020-2025_only
Private School Vaccine Mandate Non-Compliance,0.0,219.0,2020-2025_only
Building Drinking Water Tank,0.0,216.0,2020-2025_only
Pet Sale,0.0,189.0,2020-2025_only
Bench,0.0,156.0,2020-2025_only
Water Drainage,0.0,136.0,2020-2025_only
Bike/Roller/Skate,0.0,130.0,2020-2025_only
Tobacco or Non-Tobacco Sale,0.0,123.0,2020-2025_only
Unstable Building,0.0,85.0,2020-2025_only
Retailer Complaint,0.0,53.0,2020-2025_only
Unspecified,0.0,42.0,2020-2025_only
Boiler,0.0,41.0,2020-2025_only
Transfer Station Complaint,0.0,39.0,2020-2025_only
Wayfinding,0.0,32.0,2020-2025_only
Oil or Gas Spill,0.0,27.0,2020-2025_only
DSNY Internal,0.0,13.0,2020-2025_only
SNW,0.0,12.0,2020-2025_only
Leaning Bar,0.0,9.0,2020-2025_only
Building Marshal's Office,0.0,7.0,2020-2025_only
DEP Highway Condition,0.0,5.0,2020-2025_only
DOB Posted Notice or Order,0.0,5.0,2020-2025_only
DSNY Spillage,0.0,4.0,2020-2025_only
Facade Insp Safety Pgm,0.0,2.0,2020-2025_only
ASBESTOS,0.0,1.0,2020-2025_only
Change Collection Schedule,0.0,1.0,2020-2025_only
Tunnel Condition,0.0,1.0,2020-2025_only
Illegal Parking,713867.0,2460658.0,both
Noise - Residential,1105440.0,2282609.0,both
HEAT/HOT WATER,1096539.0,1439052.0,both
Noise - Street/Sidewalk,353361.0,1020121.0,both
Blocked Driveway,628959.0,933169.0,both
Request Large Bulky Item Collection,440353.0,632078.0,both
UNSANITARY CONDITION,386602.0,605704.0,both
Noise - Vehicle,147464.0,370461.0,both
Water System,341765.0,361610.0,both
Noise - Commercial,224626.0,358215.0,both
Abandoned Vehicle,23460.0,344127.0,both
PLUMBING,247067.0,343363.0,both
Street Condition,477795.0,322886.0,both
PAINT/PLASTER,280735.0,320020.0,both
Noise,288763.0,298424.0,both
Derelict Vehicles,151706.0,244155.0,both
DOOR/WINDOW,175102.0,238704.0,both
Dirty Condition,2.0,222790.0,both
Street Light Condition,250801.0,222535.0,both
WATER LEAK,163513.0,220726.0,both
Missed Collection,7.0,220153.0,both
Rodent,158797.0,218766.0,both
General Construction/Plumbing,174640.0,216765.0,both
Homeless Person Assistance,114404.0,211579.0,both
Damaged Tree,128253.0,209723.0,both
Traffic Signal Condition,119048.0,202283.0,both
Non-Emergency Police Matter,44737.0,188848.0,both
Sewer,161533.0,170997.0,both
Noise - Helicopter,7546.0,170829.0,both
GENERAL,122763.0,166957.0,both
ELECTRIC,128659.0,154861.0,both
Sidewalk Condition,153418.0,145901.0,both
FLOORING/STAIRS,115777.0,140345.0,both
Consumer Complaint,78840.0,136278.0,both
Maintenance or Facility,22908.0,121156.0,both
APPLIANCE,61637.0,118146.0,both
Overgrown Tree/Branches,71112.0,113906.0,both
Building/Use,132508.0,111542.0,both
Illegal Fireworks,1745.0,111013.0,both
Elevator,66524.0,103640.0,both
New Tree Request,87437.0,92585.0,both
For Hire Vehicle Complaint,45661.0,90030.0,both
Drug Activity,7021.0,86854.0,both
Graffiti,86277.0,85367.0,both
Missed Collection (All Materials),173616.0,82446.0,both
Lead,39284.0,77197.0,both
SAFETY,43725.0,64865.0,both
Food Establishment,50913.0,63111.0,both
Dirty Conditions,172454.0,63016.0,both
Dead/Dying Tree,42147.0,58295.0,both
Air Quality,39892.0,58003.0,both
Sanitation Condition,182007.0,57742.0,both
Root/Sewer/Sidewalk Condition,44997.0,56111.0,both
Noise - Park,19949.0,51503.0,both
Animal-Abuse,4128.0,49109.0,both
Panhandling,3790.0,43627.0,both
Indoor Air Quality,21898.0,39840.0,both
Curb Condition,30629.0,38832.0,both
Traffic,25242.0,38559.0,both
Taxi Complaint,68901.0,37396.0,both
Lost Property,6713.0,35230.0,both
Electronics Waste Appointment,55076.0,32871.0,both
Street Sign - Damaged,34539.0,29552.0,both
Broken Parking Meter,29492.0,27866.0,both
Violation of Park Rules,3891.0,27622.0,both
Animal in a Park,2997.0,27074.0,both
Illegal Tree Damage,15317.0,25728.0,both
Mobile Food Vendor,2629.0,24271.0,both
Street Sign - Missing,26614.0,23563.0,both
Special Projects Inspection Team (SPIT),21787.0,22846.0,both
Drinking,7601.0,21851.0,both
Water Conservation,22725.0,21431.0,both
Street Sign - Dangling,13304.0,21012.0,both
Emergency Response Team (ERT),20135.0,19633.0,both
Boilers,8670.0,19200.0,both
Plumbing,31123.0,18955.0,both
Smoking,10879.0,15716.0,both
Bike/Roller/Skate Chronic,2299.0,15458.0,both
Food Poisoning,15702.0,15412.0,both
Unsanitary Animal Pvt Property,10462.0,13123.0,both
Electrical,15795.0,12127.0,both
Hazardous Materials,14747.0,11827.0,both
Other Enforcement,36483.0,11314.0,both
Noise - House of Worship,4364.0,9922.0,both
ELEVATOR,5954.0,9887.0,both
Water Quality,8262.0,9140.0,both
Day Care,2199.0,8842.0,both
Snow,35896.0,8650.0,both
Unleashed Dog,3359.0,8365.0,both
Asbestos,10215.0,8244.0,both
School Maintenance,9084.0,8039.0,both
Standing Water,14618.0,7432.0,both
Unsanitary Pigeon Condition,3126.0,6886.0,both
Urinating in Public,2715.0,6543.0,both
Bus Stop Shelter Complaint,5245.0,6323.0,both
Construction Lead Dust,100.0,5798.0,both
OUTSIDE BUILDING,5696.0,5479.0,both
Non-Residential Heat,5942.0,5388.0,both
Industrial Waste,6456.0,4622.0,both
Overflowing Litter Baskets,5342.0,4316.0,both
Vending,23309.0,4270.0,both
Taxi Report,10976.0,3878.0,both
Indoor Sewage,6026.0,3696.0,both
Litter Basket / Request,13252.0,3687.0,both
Vacant Lot,10009.0,3657.0,both
Investigations and Discipline (IAD),2781.0,3505.0,both
Illegal Animal Kept as Pet,1266.0,3186.0,both
Water Leak,1.0,3071.0,both
Derelict Bicycle,9851.0,2743.0,both
Harboring Bees/Wasps,897.0,2668.0,both
Snow Removal,54.0,2629.0,both
BEST/Site Safety,9634.0,2493.0,both
Sweeping/Missed,4807.0,2438.0,both
Mosquitoes,2697.0,2314.0,both
Construction Safety Enforcement,20243.0,2127.0,both
For Hire Vehicle Report,2316.0,2127.0,both
Mold,1850.0,1883.0,both
Drinking Water,699.0,1781.0,both
Disorderly Youth,873.0,1654.0,both
Green Taxi Complaint,156.0,1644.0,both
Unsanitary Condition,5487.0,1263.0,both
Beach/Pool/Sauna Complaint,923.0,1150.0,both
Tattooing,483.0,1097.0,both
Bus Stop Shelter Placement,1062.0,1038.0,both
Scaffold Safety,1217.0,1016.0,both
Bike Rack Condition,607.0,990.0,both
Pet Shop,406.0,876.0,both
Poison Ivy,827.0,815.0,both
Plant,724.0,792.0,both
LinkNYC,633.0,773.0,both
Adopt-A-Basket,1558.0,755.0,both
DEP Street Condition,288.0,640.0,both
Recycling Enforcement,3789.0,639.0,both
General,1157.0,635.0,both
Posting Advertisement,2173.0,572.0,both
Appliance,4.0,559.0,both
Illegal Animal Sold,264.0,554.0,both
Unsanitary Animal Facility,355.0,539.0,both
Animal Facility - No Permit,311.0,537.0,both
Cranes and Derricks,1365.0,527.0,both
Sweeping/Inadequate,1494.0,478.0,both
Taxi Compliment,93.0,474.0,both
Found Property,1254.0,449.0,both
Collection Truck Noise,856.0,418.0,both
Safety,424.0,307.0,both
Electric,1.0,289.0,both
Special Natural Area District (SNAD),459.0,284.0,both
Public Payphone Complaint,1628.0,265.0,both
Squeegee,20.0,231.0,both
Public Toilet,225.0,213.0,both
Special Operations,259.0,181.0,both
Green Taxi Report,14.0,178.0,both
Homeless Encampment,26269.0,172.0,both
Borough Office,7907.0,172.0,both
Dept of Investigations,14.0,172.0,both
Lifeguard,96.0,165.0,both
X-Ray Machine/Equipment,42.0,162.0,both
Cooling Tower,103.0,128.0,both
Window Guard,193.0,126.0,both
Peeling Paint,5.0,124.0,both
Radioactive Material,38.0,96.0,both
Highway Condition,13639.0,79.0,both
Municipal Parking Facility,333.0,76.0,both
Dispatched Taxi Complaint,23.0,65.0,both
Building Condition,11.0,61.0,both
Bottled Water,62.0,56.0,both
Taxi Licensee Complaint,1.0,54.0,both
Calorie Labeling,57.0,50.0,both
FHV Licensee Complaint,7.0,47.0,both
Miscellaneous Categories,13731.0,21.0,both
Internal Code,3.0,19.0,both
Overflowing Recycling Baskets,114.0,18.0,both
Building Marshals office,6818.0,16.0,both
Tanning,40.0,15.0,both
DEP Sidewalk Condition,5.0,15.0,both
Highway Sign - Damaged,7.0,12.0,both
Bridge Condition,1169.0,11.0,both
Foam Ban Enforcement,71.0,11.0,both
Executive Inspections,1280.0,9.0,both
Ferry Complaint,14.0,8.0,both
ZTESTINT,5.0,7.0,both
Ferry Inquiry,19.0,6.0,both
SRDE,18.0,4.0,both
Employee Behavior,2.0,4.0,both
Facades,1766.0,3.0,both
Trans Fat,8.0,3.0,both
Dispatched Taxi Compliment,1.0,3.0,both
SRGOVG,1.0,3.0,both
Electronics Waste,26485.0,2.0,both
Unlicensed Dog,74.0,2.0,both
Outside Building,6.0,2.0,both
Highway Sign - Dangling,1.0,2.0,both
Sustainability Enforcement,6380.0,1.0,both
Quality of Life,1323.0,1.0,both
Forensic Engineering,77.0,1.0,both
Stalled Sites,50.0,1.0,both
MOLD,1.0,1.0,both
