case_id,case_type,original_index,nta2020,ntaname,boroname,week_start,year,complaint_category,complaint_category_label,complaint_count,y_true,prediction,lgbm_score,expected_value_log_odds,sum_shap_log_odds,top_positive_features,top_negative_features
case_001,true_positive_high_score,202914,BX0502,Mount Hope,Bronx,2025-06-23,2025,water_sewer,Water & Sewer,338,1,1,0.9802563726850194,-0.45337882358966525,2.003919102268468,complaint_category=housing; ratio_to_8w_mean; lag_52w_count; week_of_year; lag_1w_count,rolling_8w_std; weather_prcp_max; history_weeks_available; weather_prcp_station_max; lag_8w_count
case_002,true_positive_high_score,198189,BX0402,Highbridge,Bronx,2025-06-23,2025,water_sewer,Water & Sewer,370,1,1,0.9801329412813464,-0.45337882358966525,0.3299044706062928,week_of_year; rolling_12w_mean; lag_12w_count; month; rolling_8w_std,complaint_category=infrastructure; weather_tmin_max; complaint_category=noise; diff_4w_count; lag_1w_count
case_003,true_positive_high_score,199134,BX0403,Mount Eden-Claremont (West),Bronx,2025-06-23,2025,water_sewer,Water & Sewer,626,1,1,0.9798670947758633,-0.45337882358966525,-0.21355867819899968,rolling_8w_std; week_of_year; rolling_12w_std; ratio_to_12w_mean; boroname=Brooklyn,ratio_to_8w_mean; complaint_category=other; lag_12w_count; rolling_4w_mean; history_weeks_available
case_004,true_positive_high_score,207639,BX0701,University Heights (North)-Fordham,Bronx,2025-06-23,2025,water_sewer,Water & Sewer,407,1,1,0.9785442371515755,-0.45337882358966525,-0.9723763776571571,lag_1w_count; lag_52w_count; rolling_4w_mean; complaint_category=housing; rolling_12w_mean,rolling_8w_std; ratio_to_8w_mean; lag_8w_count; week_of_year; weather_prcp_max
case_005,true_positive_high_score,212364,BX0803,Riverdale-Spuyten Duyvil,Bronx,2025-06-23,2025,water_sewer,Water & Sewer,554,1,1,0.977491902588778,-0.45337882358966525,-0.571420780012201,rolling_8w_std; rolling_12w_mean; lag_12w_count; complaint_count; rolling_12w_std,ratio_to_8w_mean; complaint_category=environment; month; week_of_year; complaint_category=housing
case_006,false_positive_high_score,241450,MN0302,Lower East Side,Manhattan,2025-06-30,2025,public_safety,Public Safety & Regulatory Enforcement,249,0,1,0.9711496172592886,-0.45337882358966525,-0.9057099144106873,lag_52w_count; lag_1w_count; lag_12w_count; complaint_count; rolling_12w_mean,rolling_8w_std; ratio_to_8w_mean; history_weeks_available; lag_8w_count; weather_prcp_max
case_007,false_positive_high_score,188046,BX0101,Mott Haven-Port Morris,Bronx,2024-04-08,2024,infrastructure,Street Infrastructure & Public Works,271,0,1,0.9509649558959827,-0.45337882358966525,1.54511252690885,ratio_to_8w_mean; rolling_8w_std; week_of_year; complaint_category=noise; rolling_12w_mean,weather_tmin_min; lag_52w_count; weather_tmax_min; ratio_to_12w_mean; complaint_category=water_sewer
case_008,false_positive_high_score,266020,MN1202,Washington Heights (North),Manhattan,2025-06-30,2025,public_safety,Public Safety & Regulatory Enforcement,156,0,1,0.9507179415529737,-0.45337882358966525,1.244550493855326,ratio_to_8w_mean; lag_1w_count; complaint_count; lag_12w_count; rolling_12w_mean,rolling_8w_std; month; week_of_year; rolling_4w_std; rolling_8w_mean
case_009,false_positive_high_score,242966,MN0401,Chelsea-Hudson Yards,Manhattan,2024-05-13,2024,noise,Noise & Disturbance,180,0,1,0.9503136686518552,-0.45337882358966525,-2.1772114680889114,week_of_year; complaint_category=water_sewer; weather_tmax_mean; weather_awnd_mean; pct_change_1w,rolling_8w_std; ratio_to_8w_mean; lag_1w_count; complaint_category=housing; rolling_4w_mean
case_010,false_positive_high_score,265075,MN1201,Washington Heights (South),Manhattan,2025-06-30,2025,public_safety,Public Safety & Regulatory Enforcement,253,0,1,0.946752984357019,-0.45337882358966525,0.6370510209196353,rolling_8w_std; week_of_year; complaint_category=infrastructure; complaint_count; weather_prcp_mean,ratio_to_8w_mean; rolling_4w_mean; history_weeks_available; lag_1w_count; complaint_category=housing
case_011,false_negative_low_score,241031,MN0302,Lower East Side,Manhattan,2025-07-07,2025,infrastructure,Street Infrastructure & Public Works,13,1,0,0.5599903885291984,-0.45337882358966525,-2.43119350119418,lag_52w_count; rolling_12w_mean; week_of_year; complaint_count; lag_12w_count,rolling_8w_std; ratio_to_8w_mean; lag_8w_count; complaint_category=parking_traffic; rolling_12w_std
case_012,false_negative_low_score,164423,BK1303,Brighton Beach,Brooklyn,2024-04-22,2024,infrastructure,Street Infrastructure & Public Works,8,1,0,0.5599708462518255,-0.45337882358966525,2.4797551278577608,ratio_to_8w_mean; lag_52w_count; complaint_count; diff_4w_count; lag_1w_count,rolling_8w_std; weather_tmax_min; complaint_category=public_safety; rolling_4w_std; complaint_category=water_sewer
case_013,false_negative_low_score,317095,QN0905,Woodhaven,Queens,2024-05-06,2024,sanitation,Sanitation & Waste,14,1,0,0.5599138410461906,-0.45337882358966525,0.6573607711657933,ratio_to_8w_mean; week_of_year; lag_12w_count; lag_52w_count; rolling_12w_mean,rolling_8w_std; complaint_category=noise; month; complaint_category=public_safety; history_weeks_available
case_014,false_negative_low_score,164204,BK1303,Brighton Beach,Brooklyn,2024-02-19,2024,environment,Environmental Health & Green Space,15,1,0,0.5599093060516597,-0.45337882358966525,-0.03560434035435309,lag_52w_count; week_of_year; rolling_12w_mean; lag_12w_count; complaint_count,rolling_8w_std; ratio_to_8w_mean; complaint_category=public_safety; complaint_category=noise; ratio_to_12w_mean
case_015,false_negative_low_score,126681,BK0201,Brooklyn Heights,Brooklyn,2025-06-02,2025,infrastructure,Street Infrastructure & Public Works,7,1,0,0.5598582668740262,-0.45337882358966525,-0.08972834884791515,rolling_8w_std; week_of_year; rolling_12w_std; lag_12w_count; complaint_count,ratio_to_8w_mean; lag_52w_count; complaint_category=other; rolling_4w_mean; lag_1w_count
case_016,true_negative_low_score,286610,QN0401,Elmhurst,Queens,2025-09-08,2025,other,Other / Administrative & Unclassified,13,0,0,0.0018719789450341174,-0.45337882358966525,1.226263181853245,ratio_to_8w_mean; rolling_8w_std; rolling_12w_mean; lag_12w_count; lag_52w_count,week_of_year; history_weeks_available; complaint_category=housing; diff_4w_count; complaint_category=water_sewer
case_017,true_negative_low_score,212372,BX0803,Riverdale-Spuyten Duyvil,Bronx,2025-08-18,2025,water_sewer,Water & Sewer,6,0,0,0.0030324885083214915,-0.45337882358966525,-0.20282301114610082,ratio_to_8w_mean; rolling_12w_mean; lag_12w_count; complaint_category=public_safety; boroname=Brooklyn,complaint_category=environment; week_of_year; lag_52w_count; rolling_8w_std; rolling_4w_mean
case_018,true_negative_low_score,247892,MN0602,Gramercy,Manhattan,2024-03-11,2024,parking_traffic,"Parking, Traffic & Mobility",24,0,0,0.0036394711788107163,-0.45337882358966525,1.0805203044813076,rolling_8w_std; lag_52w_count; week_of_year; rolling_12w_mean; ratio_to_8w_mean,complaint_category=noise; ratio_to_12w_mean; diff_4w_count; lag_1w_count; weather_tavg_mean
case_019,true_negative_low_score,363360,SI0303,Arden Heights-Rossville,Staten Island,2025-08-04,2025,public_safety,Public Safety & Regulatory Enforcement,2,0,0,0.003998454294092584,-0.45337882358966525,-0.5080569696692948,lag_52w_count; rain_day_count; lag_1w_count; complaint_count; complaint_category=housing,rolling_8w_std; ratio_to_8w_mean; lag_8w_count; week_of_year; diff_4w_count
case_020,true_negative_low_score,322918,QN1102,Bayside,Queens,2025-04-07,2025,water_sewer,Water & Sewer,8,0,0,0.0041267100798482795,-0.45337882358966525,-0.04885950333647394,rolling_8w_std; complaint_category=noise; history_weeks_available; rolling_12w_std; complaint_count,ratio_to_8w_mean; rolling_4w_mean; lag_12w_count; lag_52w_count; lag_2w_count
